,Objra,Objdec,mangaid,plateifu,nsa_z,SDSS_RA_deg,SDSS_DEC_deg,SDSS_z,DR16_match_sep2d_deg,DR16_match_sep2d_arcsec
3880,220.068336896,3.52011868276,1-82684,12506-1902,0.02740041,220.0683441162109,3.5201210975646973,0.027400409802794456,7.600407877795002e-06,0.027361468360062008
3890,220.445466369,3.45540347449,1-83058,12506-9102,0.027975187,220.4454803466797,3.4554061889648438,0.02797518670558929,1.421387238322397e-05,0.05116994057960629
4020,201.187819681,32.5168408132,1-421808,12622-3704,0.02432687,201.18780517578125,32.516860961914055,0.02432687021791935,2.3570638623466178e-05,0.08485429904447825
4314,17.5588928233,0.365933355647,1-108143,12772-6104,0.04509018,17.558841705322266,0.3659155964851379,0.04509017989039421,5.4114036042159624e-05,0.19481052975177465
4376,317.903201533,11.4969433994,1-113540,7815-3702,0.0293823,317.9031982421875,11.496940612792967,0.02938232384622097,4.261972236024974e-06,0.015343100049689905
4388,257.427432616,36.4149520409,1-546807,7957-12704,0.0276725,257.4273681640625,36.4149284362793,0.027672505006194115,5.698563633834827e-05,0.20514829081805377
4426,256.03637586,31.4839848481,1-177659,7959-3701,0.0329884,256.03634643554693,31.483964920043945,0.03303229808807373,3.2043322283821725e-05,0.11535596022175822
4568,315.831306013,10.944169029,1-113368,7972-6103,0.0431534,315.831298828125,10.9441499710083,0.043153390288352966,2.032163391353077e-05,0.07315788208871077
4622,333.172171227,14.0761992722,1-115334,7979-12703,0.0251824,333.1721496582031,14.07623291015625,0.025182444602251053,3.961321364164628e-05,0.1426075691099266
4652,333.74114049,13.7619168683,1-115386,7980-9101,0.024189,333.74114990234375,13.761924743652346,0.02418903261423111,1.2066478123162807e-05,0.043439321243386106
4685,261.607611692,58.5888563574,1-25593,7990-6104,0.026199,261.60760498046875,58.58887481689453,0.02619897946715355,1.8787978665688052e-05,0.06763672319647698
4854,49.7821722131,0.955959017951,1-38155,8082-6103,0.0238831,49.78215789794922,0.9559804797172546,0.02388305030763149,2.5796781012296067e-05,0.09286841164426585
4901,51.1555183364,-0.444017557679,1-38348,8085-3704,0.0368414,51.15550231933594,-0.4440356194972992,0.036836467683315284,2.4140426964800164e-05,0.0869055370732806
4915,57.1202120356,-0.684402682702,1-229017,8086-3701,0.0475876,57.12022018432617,-0.6843855977058411,0.047587644308805466,1.8928532910975272e-05,0.06814271847951098
4930,358.10149882,14.5930685854,1-119362,8087-1902,0.0270383,358.10150146484375,14.59309196472168,0.027038313448429108,2.351900986630241e-05,0.08466843551868868
4998,18.2809329119,15.464146019,1-40814,8092-3702,0.0430935,18.28094482421875,15.46412467956543,0.0430934764444828,2.4231927042710008e-05,0.08723493735375602
5032,24.7579235116,14.9690542835,1-41700,8095-3702,0.028485,24.757896423339844,14.96904754638672,0.02848495729267597,2.7022342613382607e-05,0.09728043340817738
5174,115.633440402,44.2338189442,1-338829,8138-12701,0.0447728,115.63345336914062,44.233863830566406,0.04477281123399735,4.5837838585155385e-05,0.16501621890655938
5174,115.633440402,44.2338189442,1-338829,8138-12701,0.0447728,115.63345336914062,44.233863830566406,0.04477281123399735,4.5837838585155385e-05,0.16501621890655938
5235,118.648986177,44.1518134268,1-44163,8141-6102,0.0313438,118.6489486694336,44.151817321777344,0.031343836337327964,2.7191957619904714e-05,0.09789104743165697
5236,117.303663149,44.0650367071,1-43741,8141-6103,0.0304443,117.30364227294922,44.06503677368164,0.030444307252764705,1.50006513137073e-05,0.05400234472934628
5245,118.660223852,42.5441122846,1-43629,8143-1901,0.0318057,118.66023254394531,42.54411315917969,0.03180573135614395,6.463296475877096e-06,0.023267867313157546
5247,119.583449278,41.5680573652,1-44044,8143-3701,0.041309,119.5833969116211,41.56807327270508,0.04130895063281058,4.228511584859875e-05,0.15222641705495552
5249,120.639839507,42.3927047315,1-44447,8143-3703,0.0412392,120.63983154296876,42.39270401000977,0.04122067615389824,5.925850947663899e-06,0.021333063411590036
5370,148.046129266,33.4509909246,1-390151,8150-6101,0.0270483,148.04612731933594,33.45099639892578,0.027048345655202862,5.7101938421332276e-06,0.02055669783167962
5439,52.6213671199,0.752067673583,1-38506,8155-6102,0.0305763,52.62137985229492,0.7520458102226257,0.03057626448571682,2.5300048983480756e-05,0.09108017634053073
5467,30.8766744224,12.5882554394,1-41772,8157-1902,0.0463076,30.87669944763184,12.588255882263185,0.046307582408189774,2.4427676487546768e-05,0.08793963535516837
5504,116.522958437,48.8479689576,1-378428,8239-3703,0.0327643,116.52300262451172,48.84796524047852,0.03276432678103447,2.931462609615191e-05,0.10553265394614687
5556,131.381674782,53.9590028786,1-47290,8243-3704,0.0307899,131.38163757324222,53.959022521972656,0.030789948999881744,2.94131662855793e-05,0.10588739862808548
5560,131.883825158,53.9052505941,1-47248,8243-6104,0.0465202,131.88385009765622,53.90523147583008,0.04652024060487747,2.4111784092986076e-05,0.08680242273474988
5675,145.308121958,47.6885981864,1-138140,8252-3704,0.0467992,145.30810546875,47.68854522705078,0.046799246221780784,5.4110077972784285e-05,0.19479628070202343
5705,163.219110122,43.4284044416,1-255878,8254-1902,0.0242371,163.21913146972656,43.42839813232422,0.024237124249339104,1.673809308870492e-05,0.06025713511933772
5792,177.794188858,45.2228493075,1-257813,8259-3702,0.0358399,177.79420471191406,45.22286605834961,0.03583987429738045,2.0131731924105868e-05,0.07247423492678112
5843,183.659830148,43.5362116712,1-258249,8262-3702,0.0242308,183.65982055664062,43.53620529174805,0.024230772629380226,9.436298927821299e-06,0.033970676140156676
5932,203.738651909,22.583066234,1-519407,8311-6102,0.0317255,203.7386474609375,22.58307838439941,0.031725510954856866,1.2825742390272866e-05,0.04617267260498232
5940,247.304125164,41.1508723641,1-633990,8312-12704,0.0295927,247.3041229248047,41.1508903503418,0.029592674225568768,1.8065096690528238e-05,0.06503434808590165
5947,247.163484693,39.5185461511,1-210754,8312-3704,0.0251772,247.16346740722656,39.51852416992188,0.025177177041769028,2.5709588698422296e-05,0.09255451931432027
5995,235.709491246,38.2238412017,1-322679,8315-3701,0.0405057,235.7095031738281,38.22389221191406,0.04048813879489899,5.186374522857176e-05,0.18670948282285832
5998,237.888156574,38.2994367409,1-323055,8315-3704,0.0328705,237.88815307617188,38.2994270324707,0.03287046030163765,1.0089044208719057e-05,0.036320559151388605
6004,235.208007294,38.5134589921,1-236776,8315-9102,0.0437472,235.2079925537109,38.51347351074219,0.04374721273779869,1.8542316956536605e-05,0.06675234104353178
6015,195.331595822,43.2772138273,1-284230,8317-3704,0.0456365,195.3316192626953,43.27720260620117,0.045636530965566635,2.0424440365101842e-05,0.07352798531436663
6015,195.331595822,43.2772138273,1-284230,8317-3704,0.0456365,195.3316192626953,43.27720260620117,0.045636530965566635,2.0424440365101842e-05,0.07352798531436663
6015,195.331595822,43.2772138273,1-284230,8317-3704,0.0456365,195.3316192626953,43.27720260620117,0.045636530965566635,2.0424440365101842e-05,0.07352798531436663
6015,195.331595822,43.2772138273,1-284230,8317-3704,0.0456365,195.3316192626953,43.27720260620117,0.045636530965566635,2.0424440365101842e-05,0.07352798531436663
6015,195.331595822,43.2772138273,1-284230,8317-3704,0.0456365,195.3316192626953,43.27720260620117,0.045636530965566635,2.0424440365101842e-05,0.07352798531436663
6047,198.743165807,48.1946172876,1-234004,8319-3702,0.048877,198.7432098388672,48.19467163085938,0.04887702316045761,6.176337361546753e-05,0.2223481450156831
6067,206.627529147,22.7060191923,1-523004,8320-6101,0.0265678,206.6275177001953,22.70601463317871,0.02656775712966919,1.1501816452422567e-05,0.04140653922872124
6068,205.782134401,22.1758149643,1-519707,8320-6102,0.0277862,205.7821350097656,22.17579460144043,0.02778619341552257,2.037066143191272e-05,0.07333438115488579
6068,205.782134401,22.1758149643,1-519707,8320-6102,0.0277862,205.7821350097656,22.17579460144043,0.02778619341552257,2.037066143191272e-05,0.07333438115488579
6129,199.381778619,47.6766457959,1-285062,8324-1901,0.0269767,199.3817596435547,47.6766471862793,0.026976661756634712,1.2851862094069264e-05,0.046266703538649354
6163,213.813097542,47.8733435601,1-320681,8326-1901,0.0278739,213.8130645751953,47.87333679199219,0.02787389419972897,2.3125765085890224e-05,0.08325275430920481
6176,204.807938343,44.251001563,1-250894,8327-12702,0.033984,204.8079376220703,44.25098037719727,0.03398403525352478,2.119209523572873e-05,0.07629154284862343
6195,209.396814741,45.0839740105,1-286265,8328-12704,0.0428114,209.3968048095703,45.08399963378906,0.042811378836631775,2.656548528748088e-05,0.09563574703493116
6214,214.422103097,45.4658215702,1-235530,8329-1901,0.027447,214.4221343994141,45.46582412719727,0.027447033673524857,2.2101875541454283e-05,0.07956675194923542
6269,207.47786008,43.4822395095,1-251067,8332-3703,0.0449308,207.4778289794922,43.48224639892578,0.04493078961968422,2.359438679527771e-05,0.08493979246299976
6384,190.582431495,45.4378646384,1-259091,8341-1901,0.0468046,190.58241271972656,45.43784713745117,0.046804580837488174,2.1905361521519648e-05,0.07885930147747074
6386,190.448421792,44.9146305925,1-259079,8341-3701,0.0499416,190.4484100341797,44.914642333984375,0.04994160681962967,1.4394151385086173e-05,0.05181894498631023
6405,149.760715864,18.1928788404,1-474807,8438-3703,0.0257254,149.76072692871094,18.192890167236328,0.025725368410348892,1.5452859161026713e-05,0.05563029297969617
6425,142.778167545,49.0797456578,1-155975,8439-6102,0.0339319,142.77818298339844,49.079750061035156,0.033931948244571686,1.1029349796773794e-05,0.03970565926838566
6425,142.778167545,49.0797456578,1-155975,8439-6102,0.0339319,142.77818298339844,49.079750061035156,0.033931948244571686,1.1029349796773794e-05,0.03970565926838566
6444,135.75896569,40.433985245,1-216976,8440-6104,0.0287631,135.75892639160156,40.433982849121094,0.02876310050487518,3.0007921669248506e-05,0.10802851800929462
6453,223.347448772,39.0704414113,1-252510,8441-1902,0.0315136,223.34744262695312,39.070457458496094,0.03151356056332588,1.6741368348734884e-05,0.06026892605544558
6457,225.698795548,38.0422407327,1-252863,8441-3704,0.0287463,225.6987762451172,38.04222106933594,0.028746321797370918,2.4854621494329328e-05,0.08947663737958558
6486,207.769207404,25.0830829578,1-422898,8443-1901,0.0294147,207.76922607421875,25.08311653137207,0.029414691030979163,3.75914355967931e-05,0.13532916814845516
6500,201.411105292,33.6804328237,1-422040,8444-12703,0.0389689,201.4111175537109,33.680435180664055,0.03896890208125114,1.0472190109243539e-05,0.03769988439327674
6500,201.411105292,33.6804328237,1-422040,8444-12703,0.0389689,201.4111175537109,33.680435180664055,0.03896890208125114,1.0472190109243539e-05,0.03769988439327674
6500,201.411105292,33.6804328237,1-422040,8444-12703,0.0389689,201.4111175537109,33.680435180664055,0.03896890208125114,1.0472190109243539e-05,0.03769988439327674
6512,203.246370466,32.3204465748,1-420732,8444-6104,0.0347615,203.2463836669922,32.320446014404304,0.034761477261781686,1.1169843394999846e-05,0.04021143622199944
6521,206.665517192,34.2245412546,1-409109,8445-1902,0.0252944,206.66552734375,34.22454833984375,0.02529442496597767,1.0984431376089628e-05,0.039543952953922656
6521,206.665517192,34.2245412546,1-409109,8445-1902,0.0252944,206.66552734375,34.22454833984375,0.02529442496597767,1.0984431376089628e-05,0.039543952953922656
6521,206.665517192,34.2245412546,1-409109,8445-1902,0.0252944,206.66552734375,34.22454833984375,0.02529442496597767,1.0984431376089628e-05,0.039543952953922656
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
6592,169.299256773,23.5856597108,1-488712,8449-3703,0.0420595,169.29920959472656,23.585657119750977,0.04205954819917679,4.3314704458157876e-05,0.15593293604936836
