,RASDSSinfo,DecSDSSinfo,zSDSSinfo,HalphaSDSSline [1e-17*erg/cm^2/s],OIII5007SDSSline [1e-17*erg/cm^2/s],OIII4959SDSSline [1e-17*erg/cm^2/s],HbetaSDSSline [1e-17*erg/cm^2/s],HdeltaSDSSline [1e-17*erg/cm^2/s],N6548SDSS [1e-17*erg/cm^2/s],N6584SDSS [1e-17*erg/cm^2/s],S6717SDSSline [1e-17*erg/cm^2/s],S6731SDSSline [1e-17*erg/cm^2/s],OII3726SDSSline [1e-17*erg/cm^2/s],OII3729SDSSline [1e-17*erg/cm^2/s],OI6300SDSSline [1e-17*erg/cm^2/s],HalphaSDSSline_ERR,OIII5007SDSSline_ERR,OIII4959SDSSline_ERR,HbetaSDSSline_ERR,HdeltaSDSSline_ERR,N6548SDSS_ERR,N6583SDSS_ERR,S6717SDSSline_ERR,S6731SDSSline_ERR,OII3726SDSSline_ERR,OII3729SDSSline_ERR,OI6300SDSSline_ERR,LOG_OH+12_T04_med,LOG_OH+12_T04_avg,Mstaravg_SDSStotlgm,Mstarmed_SDSStotlgm,Dn4000SDSSindx ,D4000SDSSindx ,Dn4000SDSSindx_err,D4000SDSSindx_err,petroRad,petroRadE,petroR50,petroR50E,petroR90,petroR90E,PETRO_MASS,MODEL_MASS,FIBER_MASS,U_PETRO_ABSMAG,G_PETRO_ABSMAG,R_PETRO_ABSMAG,I_PETRO_ABSMAG,Z_PETRO_ABSMAG,SFR_flag_all,totalSFR_Avg,totalSFR_Med,sSFR_avg_all ,sSFR_med_all ,sSFR_flag_all,fibSFR_avg_all,fibSFR_med_all,fibsSFR_avg_all,fibsSFR_med_all
2145,2.7042084,-0.7326413,0.037394647,31.39111,3.5209756,-13.524243,-17.751625,-19.316174,2.642282,7.969733,9.622689,-23.150667,-4.032477,29.95972,-15.569344,13.165051,10.470561,10.83353,10.194105,11.711676,4.3179493,13.023918,15.2056875,14.94159,65.50243,65.08064,10.934064,-99.9,-99.9,10.374954,10.364124,2.0118852,2.2305524,2.0118852,0.04155646,3.4690003,0.048114046,1.5457077,0.0063147857,4.2278833,0.04707292,17227926000.0,19657624000.0,6273926000.0,-17.713924,-19.492613,-20.24691,-20.607885,-20.910498,0.0,-1.65511,-1.65511,-12.0695095,-11.998658,0,-2.358098,-2.2465827,-12.33749,-12.2152
2146,9.787717,-0.6973918,0.04493463,85.66951,39.71705,12.04481,23.775085,9.013937,27.458523,82.82124,40.117428,27.422945,61.58715,44.503853,11.009246,4.221285,4.305211,4.00145,3.3691056,3.6071637,1.5811236,4.769029,4.2607183,4.1998,7.869886,7.573834,3.895751,-99.9,-99.9,10.628405,10.617282,1.5552354,1.7724305,1.5552354,0.012995079,7.3046603,0.06499396,3.1861472,0.03545813,9.059856,0.26440826,35532403000.0,43250820000.0,8887402000.0,-19.43392,-20.692455,-21.296478,-21.570517,-21.763329,0.0,-0.0951099,-0.0951099,-10.76038,-10.735652,0,-1.0427256,-0.8425158,-11.036131,-10.830006
2147,13.372494,-0.677301,0.043756645,14.34767,0.29263097,6.754333,5.859502,3.030954,-0.030815467,-0.09294657,1.4156151,-1.3159822,-5.580622,-0.03302923,0.5070425,1.7988315,2.149166,2.2164464,2.0705779,2.567211,0.7446079,2.2459068,2.1136868,2.0760198,3.9777195,3.979061,2.1570532,-99.9,-99.9,10.428983,10.41656,1.721895,1.9050286,1.721895,0.013474641,7.1799283,0.07406732,2.9705594,0.01601777,8.6274805,0.10591136,26608749000.0,29689428000.0,5621082600.0,-18.735388,-20.244923,-20.905643,-21.190376,-21.39147,0.0,-0.76636994,-0.76636994,-11.226419,-11.182704,0,-1.6150414,-1.6562024,-11.334788,-11.373429
2148,14.053346,-0.8337614,0.04391248,4.770551,-1.8876406,0.6783766,1.0273999,5.1104426,1.6840826,5.0795817,-0.25500154,1.720879,-0.4762797,-4.2474627,-1.0258043,1.476783,1.9352661,2.0149438,1.8843223,2.6821764,0.5734412,1.7296292,1.8350677,1.6867572,4.5041256,4.5454535,1.8484323,-99.9,-99.9,10.159012,10.147142,1.7347,2.0562816,1.7347,0.04266812,7.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0.0,,inf,inf,inf,inf,inf,0.0,-1.4804499,-1.4804499,-11.67855,-11.591965,0,-2.4375873,-2.2823887,-11.890045,-11.69636
2149,14.114298,-0.7924291,0.043905113,9.467123,12.45405,-9.116986,6.505354,-0.13048752,7.408419,22.345503,11.170113,-5.8580184,19.93755,-31.304026,6.0175834,2.8194633,5.1508794,5.176099,2.7758183,3.0972328,1.8459346,5.5677595,5.581082,5.44372,17.135143,16.944952,5.0366917,-99.9,-99.9,10.484527,10.473902,2.0166056,2.2088614,2.0166056,0.027766159,6.076073,0.16038072,2.58038,0.020327028,7.709189,0.14300345,22315016000.0,26297883000.0,5711241700.0,-18.274223,-19.820232,-20.568672,-20.923773,-21.192429,0.0,-1.3028499,-1.3028499,-11.81324,-11.725704,0,-2.4458025,-2.3386917,-12.345752,-12.224639
2150,14.251433,-0.82523143,0.048729032,89.94609,16.691181,6.087052,31.921612,12.4844,15.401459,46.454353,32.42056,2.1898794,-11.435203,34.883583,1.6101947,8.050112,5.841036,5.981081,6.3843174,6.3466067,2.2393146,6.7542825,6.487871,6.00651,11.505881,11.539427,5.790077,-99.9,-99.9,10.900867,10.888171,1.8699001,2.092814,1.8699001,0.018083656,10.241056,0.22435303,3.9591713,-1000.0,11.877514,-1000.0,67532263000.0,61249163000.0,13946198000.0,-18.960878,-20.938745,-21.69933,-22.024054,-22.217306,0.0,-0.4294699,-0.4294699,-11.37341,-11.403816,0,-0.63021576,-0.6615908,-10.788391,-10.819149
2151,17.212269,-0.6509714,0.046254985,12.960202,2.4248564,-5.0142727,1.6846687,4.0908113,6.3369555,19.11372,-0.5152746,-8.169708,-29.850605,42.079117,-3.4730108,3.8282695,6.510479,6.6868806,2.7263339,3.0596335,2.0574086,6.205613,8.930771,8.457084,32.980396,32.58904,6.0949197,-99.9,-99.9,10.362682,10.351017,1.8481612,2.0585241,1.8481612,0.02918262,5.347991,0.06499903,2.2036839,0.016161414,6.193266,0.09716736,18289100000.0,20354505000.0,4840557000.0,-17.836102,-19.537987,-20.305653,-20.64546,-20.93521,0.0,-1.34082,-1.34082,-11.717979,-11.631847,0,-2.3180554,-2.185476,-12.159822,-12.012381
2152,19.720835,-0.6598496,0.048185617,168.93378,17.835642,3.4346766,48.898266,11.337085,26.9688,81.344124,19.469442,17.096334,11.712785,21.491745,7.9574957,5.922232,4.066916,4.7784386,3.8926435,3.5733976,1.8432909,5.5597854,4.551313,4.6478558,6.4414644,6.885589,4.5571313,-99.9,-99.9,10.887023,10.873112,1.6918843,1.8154194,1.6918843,0.012706142,8.827324,0.08372139,3.6422777,0.017914264,10.766696,0.113081105,55058498000.0,57979916000.0,9405151000.0,-19.06259,-20.736574,-21.50052,-21.869888,-22.129929,0.0,-0.049279906,-0.049279906,-10.96599,-10.964533,0,-0.5519243,-0.5851832,-10.73087,-10.763306
2153,19.670427,-0.67273915,0.049093407,6.5654945,15.05175,-2.1239057,4.5006967,-3.3446436,1.5734448,4.745873,3.923534,-12.10339,-29.027565,17.497553,-3.43837,2.2087646,5.3805346,5.254225,2.2253127,2.4254138,1.5565003,4.6947594,5.4647536,5.494992,20.527313,20.143877,4.6329007,-99.9,-99.9,10.2048,10.191996,1.8168354,2.0053287,1.8168354,0.027176263,3.45055,0.029380487,1.4741231,0.009344482,3.8301516,0.054990016,13890425000.0,15915119000.0,5505168400.0,-17.827852,-19.436693,-20.140709,-20.438675,-20.753622,0.0,-1.43974,-1.43974,-11.69828,-11.599401,0,-2.2809668,-2.1390982,-12.101338,-11.94386
2154,19.787752,-0.7644676,0.04715545,343.57806,19.596453,1.6775055,79.91181,17.880001,42.397305,127.88006,46.775173,34.158337,33.890392,33.40842,7.1306124,5.0922046,2.6215029,2.4738643,2.982223,3.0396807,1.0525175,3.1746325,2.4668882,2.4708176,6.320282,6.3267794,2.1017807,9.112808,9.12645,10.294971,10.282514,1.5901885,1.6597301,1.5901885,0.025280256,9.492761,0.074131325,3.5550246,0.046597525,9.051489,0.17439283,16817193000.0,18957711000.0,3000746200.0,-18.423498,-19.656504,-20.343988,-20.665009,-20.919827,0.0,0.0025800953,0.0025800953,-10.33653,-10.367653,0,-0.22902802,-0.26221067,-9.81653,-9.843411
