RASDSSinfo DecSDSSinfo zSDSSinfo "HalphaSDSSline [1e-17*erg/cm^2/s]" "OIII5007SDSSline [1e-17*erg/cm^2/s]" "OIII4959SDSSline [1e-17*erg/cm^2/s]" "HbetaSDSSline [1e-17*erg/cm^2/s]" "HdeltaSDSSline [1e-17*erg/cm^2/s]" "N6548SDSS [1e-17*erg/cm^2/s]" "N6584SDSS [1e-17*erg/cm^2/s]" "S6717SDSSline [1e-17*erg/cm^2/s]" "S6731SDSSline [1e-17*erg/cm^2/s]" "OII3726SDSSline [1e-17*erg/cm^2/s]" "OII3729SDSSline [1e-17*erg/cm^2/s]" "OI6300SDSSline [1e-17*erg/cm^2/s]" HalphaSDSSline_ERR OIII5007SDSSline_ERR OIII4959SDSSline_ERR HbetaSDSSline_ERR HdeltaSDSSline_ERR N6548SDSS_ERR N6583SDSS_ERR S6717SDSSline_ERR S6731SDSSline_ERR OII3726SDSSline_ERR OII3729SDSSline_ERR OI6300SDSSline_ERR LOG_OH+12_T04_med LOG_OH+12_T04_avg Mstaravg_SDSStotlgm Mstarmed_SDSStotlgm Dn4000SDSSindx D4000SDSSindx Dn4000SDSSindx_err D4000SDSSindx_err petroRad petroRadE petroR50 petroR50E petroR90 petroR90E PETRO_MASS MODEL_MASS FIBER_MASS U_PETRO_ABSMAG G_PETRO_ABSMAG R_PETRO_ABSMAG I_PETRO_ABSMAG Z_PETRO_ABSMAG SFR_flag_all totalSFR_Avg totalSFR_Med sSFR_avg_all sSFR_med_all sSFR_flag_all fibSFR_avg_all fibSFR_med_all fibsSFR_avg_all fibsSFR_med_all
170.8624267578125 -0.713572084903717 0.04078395292162895 1786.37841796875 153.95480346679688 51.94016647338867 497.8708190917969 130.51161193847656 189.65455627441406 572.0419311523438 406.5392150878906 310.145751953125 380.5521240234375 323.9493408203125 40.5838737487793 15.36373519897461 4.557722091674805 3.7607831954956055 6.3900346755981445 4.276159286499023 2.0077526569366455 6.055838584899902 5.797000408172607 5.270122051239014 9.166776657104492 8.906784057617188 3.1885435581207275 8.950004577636719 8.960009574890137 10.27914047241211 10.260388374328613 1.2129507064819336 1.359434723854065 1.2129507064819336 0.005055579822510481 6.434446811676025 0.03439014405012131 2.831146240234375 0.00927004124969244 7.183330059051514 0.0578460730612278 21180442624.0 20597284864.0 3497254144.0 -19.17339515686035 -20.294822692871094 -20.845582962036133 -21.1121768951416 -21.298877716064453 0.0 0.3935900926589966 0.3935900926589966 -9.916190147399902 -9.987386703491211 0 -0.11538787186145782 -0.16120918095111847 -9.658669471740723 -9.677972793579102
194.85743713378906 -2.2484591007232666 0.04741273447871208 604.04833984375 29.56519889831543 12.127727508544922 97.46540832519531 17.37738800048828 157.60153198242188 475.36260986328125 89.77892303466797 75.02930450439453 40.515445709228516 49.89633560180664 23.233978271484375 6.250317096710205 3.5533111095428467 3.4540789127349854 3.397423505783081 3.633042812347412 1.7747199535369873 5.352959632873535 3.3822600841522217 3.3649251461029053 7.469229698181152 7.817921161651611 2.936687469482422 -99.9000015258789 -99.9000015258789 10.50690746307373 10.48598575592041 1.1792263984680176 1.3007844686508179 1.1792263984680176 0.006708697881549597 8.353609085083008 0.06638360768556595 3.577787399291992 0.016872551292181015 8.858758926391602 0.09377919882535934 28602851328.0 28827604992.0 4248117760.0 -19.45398712158203 -20.625686645507812 -21.188739776611328 -21.45280647277832 -21.670921325683594 0.0 1.1151601076126099 1.1151601076126099 -9.434880256652832 -9.473312377929688 0 0.9336150884628296 0.9287270307540894 -8.811277389526367 -8.814050674438477
121.68041229248047 45.66056823730469 0.034259211272001266 1142.3121337890625 67.04371643066406 25.24435043334961 264.80389404296875 65.17415618896484 222.6861114501953 671.6726684570312 140.96864318847656 145.3172607421875 171.19874572753906 90.61459350585938 17.255672454833984 12.194875717163086 4.078230857849121 3.703408718109131 5.406203746795654 4.345344543457031 2.520378351211548 7.602035045623779 4.826979160308838 4.675018787384033 8.547087669372559 7.868248462677002 3.4294397830963135 -99.9000015258789 -99.9000015258789 10.044665336608887 10.03276538848877 1.3158286809921265 1.4734671115875244 1.3158286809921265 0.011069736443459988 4.9665608406066895 0.06452496349811554 2.050701856613159 0.013454636558890343 6.196133136749268 0.09237948805093765 10783330304.0 11684343808.0 2996524032.0 -17.92411231994629 -19.23847770690918 -19.900522232055664 -20.199064254760742 -20.42751693725586 0.0 -0.024479903280735016 -0.024479903280735016 -10.101339340209961 -10.135714530944824 0 -0.25237008929252625 -0.23404860496520996 -9.775115013122559 -9.755755424499512
160.74612426757812 65.14624786376953 0.04256894811987877 488.9136657714844 30.15021514892578 6.5877909660339355 91.12710571289062 13.719441413879395 123.86493682861328 373.6052551269531 72.44854736328125 78.71086120605469 58.79186248779297 26.958314895629883 19.961332321166992 5.421457767486572 2.603471040725708 2.404597282409668 2.8049960136413574 2.6559510231018066 1.5427097082138062 4.653163909912109 2.9344475269317627 2.988245725631714 5.624605178833008 5.55704927444458 2.524871587753296 -99.9000015258789 -99.9000015258789 10.08365249633789 10.069900512695312 1.283760666847229 1.4341710805892944 1.283760666847229 0.010462440550327301 4.607538223266602 0.0569881908595562 2.0227181911468506 0.011593838222324848 4.823957443237305 0.0668780505657196 9347287040.0 10710148096.0 3135865856.0 -17.932992935180664 -19.30318260192871 -19.9249210357666 -20.20180892944336 -20.460397720336914 0.0 0.34776008129119873 0.34776008129119873 -9.773159980773926 -9.805939674377441 0 0.198303684592247 0.2068880796432495 -9.348494529724121 -9.338891983032227
213.96153259277344 1.8826297521591187 0.025584809482097626 484.5317687988281 138.42181396484375 37.88974380493164 117.66849517822266 27.761945724487305 100.4995346069336 303.1297912597656 101.48884582519531 83.86956787109375 85.66924285888672 98.98616027832031 8.836410522460938 6.910597801208496 5.304322719573975 4.442337512969971 4.458792686462402 4.427395343780518 1.8304378986358643 5.521017074584961 4.475708484649658 4.346958637237549 11.17333984375 10.236515998840332 3.4380943775177 -99.9000015258789 -99.9000015258789 10.060293197631836 10.048553466796875 1.3354204893112183 1.507901906967163 1.3354204893112183 0.011664233170449734 8.98858642578125 0.12200191617012024 4.022663116455078 0.022637611255049706 10.63416576385498 0.1655247062444687 11526387712.0 12219089920.0 1385936512.0 -18.028564453125 -19.549453735351562 -20.14200782775879 -20.41350746154785 -20.62185287475586 0.0 -0.3870798945426941 -0.3870798945426941 -10.482999801635742 -10.486470222473145 0 -0.7841925621032715 -0.7591628432273865 -9.914913177490234 -9.88632869720459
173.69271850585938 2.9210336208343506 0.028752624988555908 5056.4375 582.5077514648438 194.50721740722656 1376.923583984375 398.0225830078125 878.7257080078125 2650.439697265625 630.6510620117188 566.27099609375 614.5482177734375 458.4642333984375 81.82575988769531 26.810720443725586 7.232353210449219 5.361788272857666 10.508923530578613 6.427590847015381 4.50058650970459 13.574792861938477 7.140936851501465 6.84933614730835 14.22991943359375 13.37605094909668 4.132648944854736 -99.9000015258789 -99.9000015258789 10.145255088806152 10.124658584594727 1.0830926895141602 1.1271547079086304 1.0830926895141602 0.003022640012204647 9.20083999633789 0.23456864058971405 3.9812498092651367 0.01809660531580448 11.21945858001709 0.12066556513309479 15745173504.0 15480202240.0 2713731328.0 -19.141286849975586 -20.04810905456543 -20.555810928344727 -20.787641525268555 -20.95674705505371 0.0 0.42965009808540344 0.42965009808540344 -9.754389762878418 -9.79734992980957 0 0.09341361373662949 0.10905700922012329 -9.257705688476562 -9.239324569702148
121.92080688476562 39.00424575805664 0.023345274850726128 4484.595703125 2533.27099609375 762.6513671875 1124.2344970703125 203.59848022460938 1798.5438232421875 5424.8232421875 1057.4881591796875 1089.07177734375 2827.470703125 -9.628157615661621 437.546142578125 45.42989730834961 34.36805725097656 26.05246353149414 20.352880477905273 14.3986234664917 14.780445098876953 44.5811882019043 31.0484676361084 30.72591781616211 778.8865966796875 296.7294006347656 23.51318359375 -99.9000015258789 -99.9000015258789 10.359663009643555 10.34813117980957 1.2591630220413208 1.4476808309555054 1.2591630220413208 0.004637266043573618 10.705958366394043 0.5022000670433044 3.5798933506011963 0.03355783969163895 13.505130767822266 0.1922813355922699 31035412480.0 28312152064.0 5365928448.0 -19.22042465209961 -20.530128479003906 -21.15668487548828 -21.412994384765625 -21.589277267456055 0.0 0.099680095911026 0.099680095911026 -10.295989990234375 -10.310307502746582 0 -0.07360199838876724 -0.06912801414728165 -9.742733001708984 -9.737117767333984
143.09237670898438 55.91920471191406 0.04919307306408882 690.8153076171875 70.38697814941406 21.259252548217773 178.57669067382812 41.476478576660156 98.18733215332031 296.1556396484375 139.67105102539062 100.22699737548828 95.2606201171875 128.43695068359375 20.739850997924805 5.1906914710998535 2.373650312423706 2.0663836002349854 2.855699300765991 2.2978289127349854 1.0983303785324097 3.312814474105835 2.7116611003875732 2.4439799785614014 4.717017650604248 4.939640998840332 1.9202464818954468 9.009993553161621 9.019983291625977 10.208337783813477 10.197538375854492 1.2846603393554688 1.4100075960159302 1.2846603393554688 0.0070456149987876415 5.119482517242432 0.08675485849380493 2.266503095626831 0.01413518562912941 5.7491841316223145 0.09154651314020157 14473051136.0 17170727936.0 3891166720.0 -18.333654403686523 -19.70063018798828 -20.328996658325195 -20.59410858154297 -20.851097106933594 0.0 0.1250600963830948 0.1250600963830948 -10.11829948425293 -10.160123825073242 0 -0.10642434656620026 -0.12667182087898254 -9.716779708862305 -9.741397857666016
150.03378295898438 2.7651593685150146 0.02887708693742752 1732.642822265625 54.99080276489258 28.838911056518555 441.8360290527344 117.42684936523438 295.1778259277344 890.324462890625 210.2276153564453 185.4456329345703 136.2772216796875 103.87078094482422 24.969106674194336 12.33022403717041 3.346524477005005 3.1886026859283447 5.292367935180664 3.859339714050293 2.305246114730835 6.953146934509277 4.314205169677734 4.242072582244873 7.956527233123779 7.704224586486816 2.9570155143737793 9.250004768371582 9.260026931762695 10.136724472045898 10.133819580078125 1.1296427249908447 1.1797633171081543 1.1296427249908447 0.004192598629742861 6.166750907897949 0.20175085961818695 2.7877447605133057 0.009109238162636757 6.669607162475586 0.05490587651729584 11381471232.0 12664955904.0 2212204544.0 -18.44846534729004 -19.52974510192871 -20.110149383544922 -20.391435623168945 -20.621097564697266 0.0 0.2680301070213318 0.2680301070213318 -9.905730247497559 -9.9696626663208 0 -0.12591569125652313 -0.13582460582256317 -9.599589347839355 -9.614484786987305
133.77354431152344 51.63520812988281 0.04776406288146973 1789.2607421875 114.75843811035156 41.65040969848633 300.75714111328125 54.63715744018555 257.3166198730469 776.1263427734375 311.6253662109375 235.73760986328125 157.55499267578125 129.5708465576172 50.292606353759766 9.567537307739258 2.760209083557129 2.4332332611083984 3.3115787506103516 2.394089698791504 1.6898915767669678 5.097097396850586 3.717071056365967 3.398310661315918 5.102115154266357 5.022100448608398 2.4223251342773438 9.046430587768555 9.05051326751709 10.51632022857666 10.502591133117676 1.2488083839416504 1.4581655263900757 1.2488083839416504 0.006828076206147671 5.667991638183594 0.30780741572380066 2.495823383331299 0.3006189167499542 7.770432472229004 2.2414636611938477 20731396096.0 23602219008.0 6108194304.0 -18.682483673095703 -20.105222702026367 -20.733978271484375 -21.062347412109375 -21.278718948364258 0.0 0.9544901251792908 0.9544901251792908 -9.598520278930664 -9.630855560302734 0 0.9403461217880249 0.9128693342208862 -9.035149574279785 -9.057621002197266
